Order ID, Date      , Product Name        , Category          , Price , Quantity, Shipping Status, Customer Location, Payment Method, Returned
    1048, 2024-01-28, Tape Dispenser      , Office            ,   8.99,        1, Delivered      , New Orleans      , Debit Card    , No
    1049, 2024-01-29, Calculator          , Electronics       ,  19.99,        1, Pending        , Bakersfield      , PayPal        , No
    1050, 2024-01-29, Stapler             , Office            ,  14.99,        1, Shipped        , Tampa            , Amazon Pay    , No
    1051, 2024-01-30, Hole Puncher        , Office            ,  11.99,        1, Delivered      , Honolulu         , Credit Card   , No
    1052, 2024-01-30, Whiteboard          , Office            ,  29.99,        1, Delivered      , Anaheim          , Debit Card    , Yes
    1053, 2024-01-31, Erasable Markers    , Office            ,   9.99,        2, Shipped        , Santa Ana        , PayPal        , No
    1054, 2024-01-31, Cork Board          , Office            ,  19.99,        1, Delivered      , Corpus Christi   , Amazon Pay    , No
    1055, 2024-02-01, Paper Clips         , Office            ,   2.99,       20, Delivered      , Riverside        , Credit Card   , No
    1056, 2024-02-01, Desk Organizer      , Office            ,  16.99,        1, Shipped        , Lexington        , Debit Card    , No
    1057, 2024-02-02, Monitor Stand       , Office            ,  35.99,        1, Delivered      , Stockton         , PayPal        , No
    1058, 2024-02-02, Foot Rest           , Office            ,  24.99,        1, Delivered      , Henderson        , Amazon Pay    , No
    1059, 2024-02-03, Anti Fatigue Mat    , Office            ,  29.99,        1, Pending        , St. Paul         , Credit Card   , Yes
    1060, 2024-02-03, Coffee Mug          , Kitchen           ,   9.99,        4, Shipped        , Newark           , Debit Card    , No
    1061, 2024-02-04, Teapot              , Kitchen           ,  24.99,        1, Delivered      , Orlando          , PayPal        , No
    1062, 2024-02-04, Toaster             , Appliances        ,  39.99,        1, Delivered      , Cincinnati       , Amazon Pay    , No
    1063, 2024-02-05, Microwave           , Appliances        ,  89.99,        1, Shipped        , Salt Lake City   , Credit Card   , No
    1064, 2024-02-05, Electric Kettle     , Appliances        ,  34.99,        2, Delivered      , Greensboro       , Debit Card    , No
    1065, 2024-02-06, Food Processor      , Appliances        , 119.99,        1, Delivered      , Toledo           , PayPal        , Yes
    1066, 2024-02-06, Vacuum Cleaner      , Appliances        , 159.99,        1, Shipped        , Fort Wayne       , Amazon Pay    , No
    1067, 2024-02-07, Iron                , Appliances        ,  29.99,        1, Delivered      , St. Louis        , Credit Card   , No
    1068, 2024-02-07, Ironing Board       , Home & Kitchen    ,  39.99,        1, Delivered      , Plano            , Debit Card    , No
    1069, 2024-02-08, Laundry Basket      , Home & Kitchen    ,  14.99,        2, Shipped        , Newark           , PayPal        , No
    1070, 2024-02-08, Hangers (24pk)      , Home & Kitchen    ,  12.99,        1, Delivered      , Durham           , Amazon Pay    , No
    1071, 2024-02-09, Shoe Rack           , Home & Kitchen    ,  29.99,        1, Delivered      , Chula Vista      , Credit Card   , No
    1072, 2024-02-09, Closet Organizer    , Home & Kitchen    ,  44.99,        1, Pending        , Orlando          , Debit Card    , Yes
    1073, 2024-02-10, Step Stool          , Home & Kitchen    ,  34.99,        1, Shipped        , Madison          , PayPal        , No
    1074, 2024-02-10, Dish Rack           , Home & Kitchen    ,  19.99,        1, Delivered      , Lubbock          , Amazon Pay    , No
    1075, 2024-02-11, Trash Can           , Home & Kitchen    ,  24.99,        2, Delivered      , Chandler         , Credit Card   , No
    1076, 2024-02-11, Recycling Bin       , Home & Kitchen    ,  29.99,        1, Delivered      , Buffalo          , Debit Card    , No
    1077, 2024-02-12, Broom & Dustpan     , Home & Kitchen    ,  19.99,        1, Shipped        , Lincoln          , PayPal        , No
    1078, 2024-02-12, Mop                 , Home & Kitchen    ,  24.99,        1, Delivered      , Scottsdale       , Amazon Pay    , No
    1079, 2024-02-13, Cleaning Spray      , Household         ,   4.99,        6, Delivered      , Reno             , Credit Card   , Yes
    1080, 2024-02-13, Microfiber Cloths   , Household         ,   7.99,        4, Shipped        , Glendale         , Debit Card    , No
    1081, 2024-02-14, Sponges (12pk)      , Household         ,   5.99,        2, Delivered      , Norfolk          , PayPal        , No
    1082, 2024-02-14, Laundry Detergent   , Household         ,  14.99,        2, Delivered      , Boise            , Amazon Pay    , No
    1083, 2024-02-15, Fabric Softener     , Household         ,   9.99,        1, Shipped        , Fremont          , Credit Card   , No
    1084, 2024-02-15, Dish Soap           , Household         ,   3.99,        4, Delivered      , Spokane          , Debit Card    , No
    1085, 2024-02-16, Hand Soap           , Beauty            ,   2.99,       10, Delivered      , Santa Clarita    , PayPal        , No
    1086, 2024-02-16, Body Lotion         , Beauty            ,   7.99,        2, Shipped        , San Bernardino   , Amazon Pay    , No
    1087, 2024-02-17, Face Wash           , Beauty            ,   8.99,        1, Delivered      , Tacoma           , Credit Card   , Yes
    1088, 2024-02-17, Sunscreen           , Beauty            ,  11.99,        1, Delivered      , Modesto          , Debit Card    , No
    1089, 2024-02-18, Lip Balm (4pk)      , Beauty            ,   4.99,        3, Shipped        , Fontana          , PayPal        , No
    1090, 2024-02-18, Makeup Remover      , Beauty            ,   6.99,        2, Delivered      , Oxnard           , Amazon Pay    , No
    1091, 2024-02-19, Eyeliner            , Beauty            ,   5.99,        1, Delivered      , Moreno Valley    , Credit Card   , No
    1092, 2024-02-19, Mascara             , Beauty            ,   7.99,        1, Pending        , Glendale         , Debit Card    , No
    1093, 2024-02-20, Foundation          , Beauty            ,  12.99,        1, Shipped        , Huntington Beach , PayPal        , Yes
    1094, 2024-02-20, Concealer           , Beauty            ,   8.99,        1, Delivered      , Yonkers          , Amazon Pay    , No
    1095, 2024-02-21, Blush               , Beauty            ,   9.99,        1, Delivered      , Aurora           , Credit Card   , No
    1096, 2024-02-21, Eyeshadow Palette   , Beauty            ,  24.99,        1, Shipped        , Montgomery       , Debit Card    , No
    1097, 2024-02-22, Brushes Set         , Beauty            ,  14.99,        1, Delivered      , Birmingham       , PayPal        , No
    1098, 2024-02-22, Sponge Set          , Beauty            ,   6.99,        2, Delivered      , Grand Rapids     , Amazon Pay    , No
    1099, 2024-02-23, Hair Clips          , Beauty            ,   3.99,        5, Shipped        , Salt Lake City   , Credit Card   , Yes
    1100, 2024-02-23, Hair Ties (24pk)    , Beauty            ,   4.99,        3, Delivered      , Huntsville       , Debit Card    , No
